"RefSeq.accession.number","Gene.Name","ensembl_gene_id"
"NM_001008395","LAMTOR4 ","ENSG00000188186"
"NM_001008495","TMEM64 ","ENSG00000180694"
"NM_001008727","ZNF121 ","ENSG00000197961"
"NM_001008739","C6orf226 ","ENSG00000221821"
"NM_001008910","STK16 ","ENSG00000115661"
"NM_001009","RPS5 ","ENSG00000083845"
"NM_001009552","PPP2CB ","ENSG00000104695"
"NM_001009894","C12orf29 ","ENSG00000133641"
"NM_001009993","FAM168B ","ENSG00000152102"
"NM_001010","RPS6 ","ENSG00000137154"
"NM_001010854","TTC7B ","ENSG00000165914"
"NM_001010858","RNF187 ","ENSG00000168159"
"NM_001010858","RNF187 ","ENSG00000285426"
"NM_001010867","IBA57 ","ENSG00000181873"
"NM_001012643","MYPOP ","ENSG00000176182"
"NM_001012759","CTU2 ","ENSG00000174177"
"NM_001012985","COA6 ","ENSG00000168275"
"NM_001012989","UBE2NL ","ENSG00000292243"
"NM_001013657","GDPGP1 ","ENSG00000183208"
"NM_001013663","PTRHD1 ","ENSG00000184924"
"NM_001013694","SRRD ","ENSG00000100104"
"NM_001013703","EIF2AK4 ","ENSG00000128829"
"NM_001013845","CXorf40B ","ENSG00000197021"
"NM_001017","RPS13 ","ENSG00000110700"
"NM_001017395","TMCC1 ","ENSG00000172765"
"NM_001017923","C14orf28 ","ENSG00000179476"
"NM_001017927","C2orf76 ","ENSG00000186132"
"NM_001017980","VMA21 ","ENSG00000160131"
"NM_001018024","CMC4 ","ENSG00000182712"
"NM_001018108","SERF2 ","ENSG00000140264"
"NM_001018136","NME1-NME2 ","ENSG00000011052"
"NM_001024678","LRRC24 ","ENSG00000254402"
"NM_001025","RPS23 ","ENSG00000186468"
"NM_001025356","ANO6 ","ENSG00000177119"
"NM_001026","RPS24 ","ENSG00000138326"
"NM_001029859","KCTD21 ","ENSG00000188997"
"NM_001029863","C6orf120 ","ENSG00000185127"
"NM_001029885","GLTPD1 ","ENSG00000224051"
"NM_001029997","ZNF181 ","ENSG00000197841"
"NM_001031617","COX19 ","ENSG00000240230"
"NM_001031684","SRSF7 ","ENSG00000115875"
"NM_001031689","PLAA ","ENSG00000137055"
"NM_001031703","ELP6 ","ENSG00000163832"
"NM_001031713","CCDC90A ","ENSG00000050393"
"NM_001031725","DDX59 ","ENSG00000118197"
"NM_001032284","TMPO ","ENSG00000120802"
"NM_001032363","MINOS1 ","ENSG00000173436"
"NM_001033","RRM1 ","ENSG00000167325"
"NM_001033002","RPAIN ","ENSG00000129197"
"NM_001033088","NGRN ","ENSG00000182768"
"NM_001033583","ACOT9 ","ENSG00000123130"
"NM_001034841","ITPRIPL2 ","ENSG00000205730"
"NM_001035005","C18orf32 ","ENSG00000177576"
"NM_001035235","SRA1 ","ENSG00000213523"
"NM_001035505","BOLA3 ","ENSG00000163170"
"NM_001039476","NPRL3 ","ENSG00000103148"
"NM_001039590","USP9X ","ENSG00000124486"
"NM_001039613","IAH1 ","ENSG00000134330"
"NM_001039618","CREBZF ","ENSG00000137504"
"NM_001039697","SNAPC3 ","ENSG00000164975"
"NM_001040431","COA3 ","ENSG00000183978"
"NM_001040436","YARS2 ","ENSG00000139131"
"NM_001040445","ASB1 ","ENSG00000065802"
"NM_001040616","LINS ","ENSG00000140471"
"NM_001040664","PPAN-P2RY11 ","ENSG00000243207"
"NM_001040697","UEVLD ","ENSG00000151116"
"NM_001042371","PGP ","ENSG00000184207"
"NM_001042414","PSPC1 ","ENSG00000121390"
"NM_001042616","PIGY ","ENSG00000255072"
"NM_001042697","ZSWIM7 ","ENSG00000214941"
"NM_001044264","MSMP ","ENSG00000215183"
"NM_001068","TOP2B ","ENSG00000077097"
"NM_001077399","PNKD ","ENSG00000127838"
"NM_001077637","WTH3DI ","ENSG00000233087"
"NM_001077664","URGCP ","ENSG00000106608"
"NM_001077701","MIER1 ","ENSG00000198160"
"NM_001078172","FAM127B ","ENSG00000203950"
"NM_001079559","HNRNPUL2 ","ENSG00000214753"
"NM_001080432","FTO ","ENSG00000140718"
"NM_001080452","GPR108 ","ENSG00000125734"
"NM_001080453","INTS1 ","ENSG00000164880"
"NM_001080496","RGP1 ","ENSG00000107185"
"NM_001080501","TMEM223 ","ENSG00000168569"
"NM_001080510","METTL23 ","ENSG00000181038"
"NM_001080517","SETD5 ","ENSG00000168137"
"NM_001080849","DNLZ ","ENSG00000213221"
"NM_001083614","EARS2 ","ENSG00000103356"
"NM_001084","PLOD3 ","ENSG00000106397"
"NM_001085365","MZT2A ","ENSG00000173272"
"NM_001085372","C11orf83 ","ENSG00000204922"
"NM_001085458","CTNND1 ","ENSG00000198561"
"NM_001085481","MAP1LC3B2 ","ENSG00000258102"
"NM_001087","AAMP ","ENSG00000127837"
"NM_001089591","UQCRHL ","ENSG00000233954"
"NM_001090","ABCF1 ","ENSG00000232169"
"NM_001090","ABCF1 ","ENSG00000206490"
"NM_001090","ABCF1 ","ENSG00000231129"
"NM_001090","ABCF1 ","ENSG00000236149"
"NM_001090","ABCF1 ","ENSG00000236342"
"NM_001090","ABCF1 ","ENSG00000204574"
"NM_001090","ABCF1 ","ENSG00000225989"
"NM_001096","ACLY ","ENSG00000131473"
"NM_001099269","ZNF506 ","ENSG00000081665"
"NM_001099402","CCNK ","ENSG00000090061"
"NM_001099415","POM121C ","ENSG00000272391"
"NM_001099436","ULK3 ","ENSG00000140474"
"NM_001099670","C8orf59 ","ENSG00000176731"
"NM_001099692","EIF5AL1 ","ENSG00000253626"
"NM_001100389","TMEM192 ","ENSG00000170088"
"NM_001100399","PDS5A ","ENSG00000121892"
"NM_001100418","C19orf60 ","ENSG00000006015"
"NM_001105","ACVR1 ","ENSG00000115170"
"NM_001105537","ZNF142 ","ENSG00000115568"
"NM_001105573","FBXO45 ","ENSG00000174013"
"NM_001110503","TMEM87A ","ENSG00000103978"
"NM_001113202","NACA ","ENSG00000196531"
"NM_001113363","TBC1D14 ","ENSG00000132405"
"NM_001113434","C17orf51 ",NA
"NM_001114118","C17orf85 ","ENSG00000074356"
"NM_001114600","SZRD1 ","ENSG00000055070"
"NM_001114600","SZRD1 ","ENSG00000291379"
"NM_001114632","JMJD7 ","ENSG00000243789"
"NM_001115007","LIN54 ","ENSG00000189308"
"NM_001115016","KANSL3 ","ENSG00000114982"
"NM_001122672","CCBL1 ","ENSG00000171097"
"NM_001123","ADK ","ENSG00000156110"
"NM_001123040","ARIH2OS ",NA
"NM_001125","ADPRH ","ENSG00000144843"
"NM_001127","AP1B1 ","ENSG00000100280"
"NM_001128","AP1G1 ","ENSG00000166747"
"NM_001128144","PMS1 ","ENSG00000064933"
"NM_001128228","TPRN ","ENSG00000176058"
"NM_001128591","PSMG4 ","ENSG00000180822"
"NM_001128619","LUZP6 ",NA
"NM_001130","AES ","ENSG00000104964"
"NM_001130929","C7orf73 ","ENSG00000243317"
"NM_001134493","TOMM6 ","ENSG00000214736"
"NM_001135178","ZNF397 ","ENSG00000186812"
"NM_001136053","TPRA1 ","ENSG00000163870"
"NM_001136108","R3HCC1 ","ENSG00000104679"
"NM_001136262","ATXN7L3B ","ENSG00000253719"
"NM_001136498","CISD3 ","ENSG00000277972"
"NM_001136498","CISD3 ","ENSG00000274768"
"NM_001137675","ATXN1L ","ENSG00000224470"
"NM_001142623","GHDC ","ENSG00000167925"
"NM_001142641","FBRSL1 ","ENSG00000112787"
"NM_001143681","GSTK1 ","ENSG00000197448"
"NM_001143909","LOC729020 ","ENSG00000235376"
"NM_001143960","C2orf74 ","ENSG00000237651"
"NM_001144831","PHB2 ","ENSG00000215021"
"NM_001144989","ZNF814 ","ENSG00000204514"
"NM_001145073","USP27X ","ENSG00000273820"
"NM_001145078","ZNF805 ","ENSG00000204524"
"NM_001145432","C4orf52 ","ENSG00000250317"
"NM_001145769","XPC ",NA
"NM_001145783","MEF2BNB ","ENSG00000254901"
"NM_001146106","PARP9 ","ENSG00000138496"
"NM_001146160","TATDN1 ","ENSG00000291730"
"NM_001146160","TATDN1 ","ENSG00000147687"
"NM_001152","SLC25A5 ","ENSG00000005022"
"NM_001155","ANXA6 ","ENSG00000197043"
"NM_001156","ANXA7 ","ENSG00000138279"
"NM_001160305","SETD6 ","ENSG00000103037"
"NM_001161","NUDT2 ","ENSG00000164978"
"NM_001163315","FBXL17 ","ENSG00000145743"
"NM_001163380","RAB2B ","ENSG00000129472"
"NM_001163424","MYEOV2 ","ENSG00000172428"
"NM_001164468","TMED7-TICAM2 ","ENSG00000251201"
"NM_001164603","ASXL1 ","ENSG00000171456"
"NM_001164811","PET117 ","ENSG00000232838"
"NM_001165946","IDE ","ENSG00000119912"
"NM_001166","BIRC2 ","ENSG00000110330"
"NM_001166104","NR3C2 ","ENSG00000151623"
"NM_001167","XIAP ","ENSG00000101966"
"NM_001170569","CXorf56 ","ENSG00000018610"
"NM_001171155","PET100 ","ENSG00000229833"
"NM_001172574","MCPH1 ","ENSG00000147316"
"NM_001173","ARHGAP5 ","ENSG00000100852"
"NM_001173533","DGCR2 ","ENSG00000070413"
"NM_001174108","ZBED6 ","ENSG00000257315"
"NM_001177","ARL1 ","ENSG00000120805"
"NM_001183","ATP6AP1 ","ENSG00000071553"
"NM_001190","BCAT2 ","ENSG00000105552"
"NM_001190316","IP6K2 ","ENSG00000068745"
"NM_001191","BCL2L1 ","ENSG00000171552"
"NM_001193285","SIRT6 ","ENSG00000077463"
"NM_001193612","TUBD1 ","ENSG00000108423"
"NM_001195098","ANKRD28 ","ENSG00000206560"
"NM_001195563","CAMTA1 ","ENSG00000171735"
"NM_001195605","ZNF865 ","ENSG00000261221"
"NM_001195628","MLLT10 ","ENSG00000078403"
"NM_001195752","THAP3 ","ENSG00000041988"
"NM_001198798","ASCC1 ","ENSG00000138303"
"NM_001198845","RBM14-RBM4 ","ENSG00000248643"
"NM_001198879","ATP5J2-PTCD1 ","ENSG00000248919"
"NM_001199058","C15orf38-AP3S2 ","ENSG00000250021"
"NM_001199119","TRIM39-RPP21 ","ENSG00000242726"
"NM_001199119","TRIM39-RPP21 ","ENSG00000243009"
"NM_001199119","TRIM39-RPP21 ","ENSG00000239865"
"NM_001199119","TRIM39-RPP21 ","ENSG00000248167"
"NM_001199119","TRIM39-RPP21 ","ENSG00000241779"
"NM_001199119","TRIM39-RPP21 ","ENSG00000239927"
"NM_001199119","TRIM39-RPP21 ","ENSG00000241863"
"NM_001199535","TGIF2-C20orf24 ","ENSG00000259399"
"NM_001199661","PMF1-BGLAP ","ENSG00000260238"
"NM_001199816","GGCT ","ENSG00000006625"
"NM_001199823","NEDD8-MDP1 ","ENSG00000255526"
"NM_001199823","NEDD8-MDP1 ","ENSG00000285425"
"NM_001199864","BCL2L2-PABPN1 ","ENSG00000258643"
"NM_001199900","PDK2 ","ENSG00000005882"
"NM_001201459","ZNF513 ","ENSG00000163795"
"NM_001202403","ASB6 ","ENSG00000148331"
"NM_001202485","HSPE1-MOB4 ","ENSG00000270757"
"NM_001202547","SYNJ2BP-COX16 ","ENSG00000258644"
"NM_001202558","CHURC1-FNTB ","ENSG00000257365"
"NM_001203260","NDUFC2-KCTD14 ","ENSG00000259112"
"NM_001204062","COMMD3-BMI1 ","ENSG00000269897"
"NM_001204180","ZHX1-C8ORF76 ","ENSG00000259305"
"NM_001204425","BIVM-ERCC5 ","ENSG00000270181"
"NM_001204848","TNFAIP8L2-SCNM1 ","ENSG00000163156"
"NM_001204890","ISY1-RAB43 ","ENSG00000261796"
"NM_001205","BNIP1 ","ENSG00000113734"
"NM_001206","KLF9 ","ENSG00000119138"
"NM_001206491","MAVS ","ENSG00000088888"
"NM_001206682","ATF7 ","ENSG00000170653"
"NM_001207","BTF3 ","ENSG00000145741"
"NM_001212","C1QBP ","ENSG00000108561"
"NM_001219","CALU ","ENSG00000128595"
"NM_001227","CASP7 ","ENSG00000165806"
"NM_001229","CASP9 ","ENSG00000132906"
"NM_001239","CCNH ","ENSG00000134480"
"NM_001242393","ACSS2 ","ENSG00000131069"
"NM_001242713","LOC100289561 ",NA
"NM_001243399","GLRX2 ","ENSG00000023572"
"NM_001243650","GFOD2 ","ENSG00000141098"
"NM_001243770","FAM178A ","ENSG00000119906"
"NM_001243777","CEP57 ","ENSG00000166037"
"NM_001244584","C7orf55-LUC7L2 ","ENSG00000269955"
"NM_001247","ENTPD6 ","ENSG00000197586"
"NM_001252678","BBS4 ","ENSG00000140463"
"NM_001253","CDC5L ","ENSG00000096401"
"NM_001254755","CYB5D2 ","ENSG00000167740"
"NM_001256","CDC27 ","ENSG00000004897"
"NM_001256167","ZNF620 ","ENSG00000177842"
"NM_001256197","ARAF ","ENSG00000078061"
"NM_001256425","PDLIM5 ","ENSG00000163110"
"NM_001256686","CSNK2A3 ","ENSG00000254598"
"NM_001257069","FBXW7 ","ENSG00000109670"
"NM_001258388","FAM173B ","ENSG00000150756"
"NM_001260","CDK8 ","ENSG00000132964"
"NM_001261","CDK9 ","ENSG00000136807"
"NM_001261434","AARSD1 ","ENSG00000266967"
"NM_001270680","MCU ","ENSG00000156026"
"NM_001270768","STRIP1 ","ENSG00000143093"
"NM_001270977","IST1 ","ENSG00000182149"
"NM_001271420","TTC19 ","ENSG00000011295"
"NM_001271573","PEX11A ","ENSG00000166821"
"NM_001271592","LOC100129361 ","ENSG00000256537"
"NM_001271592","LOC100129361 ","ENSG00000281930"
"NM_001271643","THADA ","ENSG00000115970"
"NM_001271649","ZNF138 ","ENSG00000197008"
"NM_001271675","LOC441155 ","ENSG00000214558"
"NM_001271840","IKZF5 ","ENSG00000095574"
"NM_001272049","TRAP1 ","ENSG00000126602"
"NM_001272051","C16orf91 ","ENSG00000174109"
"NM_001273","CHD4 ","ENSG00000111642"
"NM_001276293","NISCH ","ENSG00000010322"
"NM_001278","CHUK ","ENSG00000213341"
"NM_001281","TBCB ","ENSG00000105254"
"NM_001284","AP3S1 ","ENSG00000177879"
"NM_001287","CLCN7 ","ENSG00000103249"
"NM_001293","CLNS1A ","ENSG00000074201"
"NM_001294","CLPTM1 ","ENSG00000104853"
"NM_001304","CPD ","ENSG00000108582"
"NM_001320","CSNK2B ","ENSG00000230700"
"NM_001320","CSNK2B ","ENSG00000206406"
"NM_001320","CSNK2B ","ENSG00000204435"
"NM_001320","CSNK2B ","ENSG00000228875"
"NM_001320","CSNK2B ","ENSG00000224398"
"NM_001320","CSNK2B ","ENSG00000232960"
"NM_001320","CSNK2B ","ENSG00000224774"
"NM_001324","CSTF1 ","ENSG00000101138"
"NM_001328","CTBP1 ","ENSG00000159692"
"NM_001344","DAD1 ","ENSG00000129562"
"NM_001349","DARS ","ENSG00000115866"
"NM_001350","DAXX ","ENSG00000206206"
"NM_001350","DAXX ","ENSG00000206279"
"NM_001350","DAXX ","ENSG00000204209"
"NM_001350","DAXX ","ENSG00000231617"
"NM_001350","DAXX ","ENSG00000227046"
"NM_001356","DDX3X ","ENSG00000215301"
"NM_001357","DHX9 ","ENSG00000135829"
"NM_001358","DHX15 ","ENSG00000109606"
"NM_001363","DKC1 ","ENSG00000130826"
"NM_001375","DNASE2 ","ENSG00000105612"
"NM_001382","DPAGT1 ","ENSG00000172269"
"NM_001383","DPH1 ","ENSG00000108963"
"NM_001384","DPH2 ","ENSG00000132768"
"NM_001388","DRG2 ","ENSG00000108591"
"NM_001398","ECH1 ","ENSG00000104823"
"NM_001398","ECH1 ","ENSG00000282853"
"NM_001416","EIF4A1 ","ENSG00000161960"
"NM_001418","EIF4G2 ","ENSG00000110321"
"NM_001419","ELAVL1 ","ENSG00000066044"
"NM_001440","EXTL3 ","ENSG00000012232"
"NM_001469","XRCC6 ","ENSG00000196419"
"NM_001487","BLOC1S1 ","ENSG00000135441"
"NM_001494","GDI2 ","ENSG00000057608"
"NM_001498","GCLC ","ENSG00000001084"
"NM_001499","GLE1 ","ENSG00000119392"
"NM_001514","GTF2B ","ENSG00000137947"
"NM_001517","GTF2H4 ","ENSG00000213780"
"NM_001517","GTF2H4 ","ENSG00000226384"
"NM_001517","GTF2H4 ","ENSG00000236895"
"NM_001517","GTF2H4 ","ENSG00000233149"
"NM_001517","GTF2H4 ","ENSG00000221974"
"NM_001517","GTF2H4 ","ENSG00000234370"
"NM_001518","GTF2I ","ENSG00000263001"
"NM_001519","BRF1 ","ENSG00000185024"
"NM_001520","GTF3C1 ","ENSG00000077235"
"NM_001521","GTF3C2 ","ENSG00000115207"
"NM_001527","HDAC2 ","ENSG00000196591"
"NM_001533","HNRNPL ","ENSG00000104824"
"NM_001533","HNRNPL ","ENSG00000282947"
"NM_001537","HSBP1 ","ENSG00000230989"
"NM_001543","NDST1 ","ENSG00000070614"
"NM_001545","ICT1 ","ENSG00000167862"
"NM_001550","IFRD1 ","ENSG00000006652"
"NM_001560","IL13RA1 ","ENSG00000131724"
"NM_001568","EIF3E ","ENSG00000104408"
"NM_001569","IRAK1 ","ENSG00000184216"
"NM_001605","AARS ","ENSG00000090861"
"NM_001618","PARP1 ","ENSG00000143799"
"NM_001625","AK2 ","ENSG00000004455"
"NM_001634","AMD1 ","ENSG00000123505"
"NM_001640","APEH ","ENSG00000164062"
"NM_001641","APEX1 ","ENSG00000291796"
"NM_001641","APEX1 ","ENSG00000100823"
"NM_001655","ARCN1 ","ENSG00000095139"
"NM_001658","ARF1 ","ENSG00000143761"
"NM_001662","ARF5 ","ENSG00000004059"
"NM_001663","ARF6 ","ENSG00000165527"
"NM_001664","RHOA ","ENSG00000067560"
"NM_001668","ARNT ","ENSG00000143437"
"NM_001675","ATF4 ","ENSG00000128272"
"NM_001685","ATP5J ","ENSG00000154723"
"NM_001686","ATP5B ","ENSG00000110955"
"NM_001687","ATP5D ","ENSG00000099624"
"NM_001688","ATP5F1 ","ENSG00000116459"
"NM_001689","ATP5G3 ","ENSG00000154518"
"NM_001694","ATP6V0C ","ENSG00000185883"
"NM_001695","ATP6V1C1 ","ENSG00000155097"
"NM_001696","ATP6V1E1 ","ENSG00000131100"
"NM_001697","ATP5O ","ENSG00000241837"
"NM_001698","AUH ","ENSG00000148090"
"NM_001707","BCL7B ","ENSG00000106635"
"NM_001724","BPGM ","ENSG00000172331"
"NM_001728","BSG ","ENSG00000172270"
"NM_001746","CANX ","ENSG00000127022"
"NM_001746","CANX ","ENSG00000283777"
"NM_001749","CAPNS1 ","ENSG00000126247"
"NM_001751","CARS ","ENSG00000110619"
"NM_001751","CARS ","ENSG00000278191"
"NM_001762","CCT6A ","ENSG00000146731"
"NM_001780","CD63 ","ENSG00000135404"
"NM_001791","CDC42 ","ENSG00000070831"
"NM_001806","CEBPG ","ENSG00000153879"
"NM_001810","CENPB ","ENSG00000125817"
"NM_001829","CLCN3 ","ENSG00000109572"
"NM_001833","CLTA ","ENSG00000122705"
"NM_001834","CLTB ","ENSG00000175416"
"NM_001861","COX4I1 ","ENSG00000131143"
"NM_001862","COX5B ","ENSG00000291596"
"NM_001862","COX5B ","ENSG00000135940"
"NM_001863","COX6B1 ","ENSG00000126267"
"NM_001865","COX7A2 ","ENSG00000112695"
"NM_001867","COX7C ","ENSG00000127184"
"NM_001880","ATF2 ","ENSG00000115966"
"NM_001892","CSNK1A1 ","ENSG00000113712"
"NM_001893","CSNK1D ","ENSG00000141551"
"NM_001903","CTNNA1 ","ENSG00000044115"
"NM_001904","CTNNB1 ","ENSG00000168036"
"NM_001909","CTSD ","ENSG00000117984"
"NM_001913","CUX1 ","ENSG00000257923"
"NM_001916","CYC1 ","ENSG00000179091"
"NM_001918","DBT ","ENSG00000137992"
"NM_001919","ECI1 ","ENSG00000167969"
"NM_001921","DCTD ","ENSG00000129187"
"NM_001923","DDB1 ","ENSG00000167986"
"NM_001930","DHPS ","ENSG00000095059"
"NM_001933","DLST ","ENSG00000119689"
"NM_001938","DR1 ","ENSG00000117505"
"NM_001948","DUT ","ENSG00000128951"
"NM_001950","E2F4 ","ENSG00000205250"
"NM_001959","EEF1B2 ","ENSG00000114942"
"NM_001959","EEF1B2 ","ENSG00000283391"
"NM_001961","EEF2 ","ENSG00000167658"
"NM_001969","EIF5 ","ENSG00000100664"
"NM_001970","EIF5A ","ENSG00000288145"
"NM_001970","EIF5A ","ENSG00000132507"
"NM_001973","ELK4 ","ENSG00000158711"
"NM_001983","ERCC1 ","ENSG00000012061"
"NM_001984","ESD ","ENSG00000139684"
"NM_001985","ETFB ","ENSG00000105379"
"NM_001987","ETV6 ","ENSG00000139083"
"NM_002004","FDPS ","ENSG00000160752"
"NM_002013","FKBP3 ","ENSG00000100442"
"NM_002027","FNTA ","ENSG00000168522"
"NM_002028","FNTB ","ENSG00000257365"
"NM_002035","KDSR ","ENSG00000119537"
"NM_002041","GABPB1 ","ENSG00000104064"
"NM_002044","GALK2 ","ENSG00000156958"
"NM_002047","GARS ","ENSG00000106105"
"NM_002061","GCLM ","ENSG00000023909"
"NM_002074","GNB1 ","ENSG00000078369"
"NM_002076","GNS ","ENSG00000135677"
"NM_002077","GOLGA1 ","ENSG00000136935"
"NM_002085","GPX4 ","ENSG00000167468"
"NM_002092","GRSF1 ","ENSG00000132463"
"NM_002093","GSK3B ","ENSG00000082701"
"NM_002094","GSPT1 ","ENSG00000103342"
"NM_002096","GTF2F1 ","ENSG00000125651"
"NM_002097","GTF3A ","ENSG00000122034"
"NM_002105","H2AFX ","ENSG00000188486"
"NM_002106","H2AFZ ","ENSG00000164032"
"NM_002109","HARS ","ENSG00000170445"
"NM_002111","HTT ","ENSG00000197386"
