gene_id,avg_effective_length
ENSG00000000003,3006.060476190476
ENSG00000000005,791.8547619047619
ENSG00000000419,1064.0233333333335
ENSG00000000457,5089.725238095238
ENSG00000000460,2691.4638095238097
ENSG00000000938,2288.3680952380955
ENSG00000000971,2066.6557142857146
ENSG00000001036,2042.4066666666668
ENSG00000001084,2824.769523809524
ENSG00000001167,4988.265238095239
ENSG00000001460,2507.5976190476194
ENSG00000001461,3243.04238095238
ENSG00000001497,2180.546666666667
ENSG00000001561,4562.354761904761
ENSG00000001617,1608.0938095238096
ENSG00000001626,1140.9485714285713
ENSG00000001629,3029.1680952380952
ENSG00000001630,2645.597619047619
ENSG00000001631,2398.946666666667
ENSG00000002016,1938.8271428571431
ENSG00000002079,5754.354761904762
ENSG00000002330,819.680476190476
ENSG00000002549,1405.9852380952377
ENSG00000002586,991.3128571428571
ENSG00000002587,5519.232857142857
ENSG00000002726,1992.6495238095233
ENSG00000002745,1966.8519047619045
ENSG00000002746,3223.721428571429
ENSG00000002822,666.9995238095238
ENSG00000002834,2992.6309523809527
ENSG00000002919,2270.457619047619
ENSG00000002933,819.9709523809526
ENSG00000003056,1319.8585714285716
ENSG00000003096,2939.742380952382
ENSG00000003137,2728.954761904762
ENSG00000003147,1188.3780952380953
ENSG00000003249,1872.7047619047617
ENSG00000003393,3746.418571428571
ENSG00000003400,3148.3757142857153
ENSG00000003402,2751.084285714286
ENSG00000003436,2631.224761904762
ENSG00000003509,1379.1685714285713
ENSG00000003756,1511.3476190476192
ENSG00000003987,4002.739523809523
ENSG00000003989,5695.430476190476
ENSG00000004059,947.3552380952383
ENSG00000004139,6975.40142857143
ENSG00000004142,2341.1290476190475
ENSG00000004399,1462.1785714285716
ENSG00000004455,2435.2761904761905
ENSG00000004468,4003.27238095238
ENSG00000004478,2178.6109523809523
ENSG00000004487,3351.4338095238095
ENSG00000004534,1725.66
ENSG00000004660,3451.8442857142854
ENSG00000004700,2242.0047619047614
ENSG00000004766,2196.2214285714285
ENSG00000004776,850.2866666666667
ENSG00000004777,3071.7219047619055
ENSG00000004779,508.4566666666667
ENSG00000004799,2954.6752380952385
ENSG00000004809,1174.831904761905
ENSG00000004838,1035.0038095238097
ENSG00000004846,2269.950952380952
ENSG00000004848,796.2904761904759
ENSG00000004864,1390.757619047619
ENSG00000004866,1774.0080952380956
ENSG00000004897,1517.1952380952382
ENSG00000004939,3697.6838095238086
ENSG00000004948,2300.6285714285714
ENSG00000004961,1729.4066666666665
ENSG00000004975,2000.168095238095
ENSG00000005001,881.0333333333333
ENSG00000005007,3464.879047619048
ENSG00000005020,2782.481904761905
ENSG00000005022,1149.7619047619048
ENSG00000005059,1393.3423809523808
ENSG00000005073,2321.354761904762
ENSG00000005075,855.3547619047619
ENSG00000005100,5287.65
ENSG00000005102,2065.556666666667
ENSG00000005108,5177.665714285713
ENSG00000005156,3156.035714285714
ENSG00000005175,1416.1742857142856
ENSG00000005187,1120.7257142857145
ENSG00000005189,1471.832380952381
ENSG00000005194,1485.5761904761903
ENSG00000005206,2559.465238095238
ENSG00000005238,2580.202380952381
ENSG00000005243,566.004761904762
ENSG00000005249,3145.757142857143
ENSG00000005302,1506.712380952381
ENSG00000005339,2069.414761904762
ENSG00000005379,2414.5852380952388
ENSG00000005381,2062.3447619047615
ENSG00000005421,1228.6733333333336
ENSG00000005436,1816.133333333333
ENSG00000005448,819.5052380952383
ENSG00000005469,2181.250952380952
ENSG00000005471,1704.9771428571423
ENSG00000005483,2085.788095238095
ENSG00000005486,1367.3914285714288
ENSG00000005513,3140.197142857143
ENSG00000005700,4996.0485714285705
ENSG00000005801,2194.115238095238
ENSG00000005810,3615.3919047619042
ENSG00000005812,3120.2338095238088
ENSG00000005844,2943.0923809523815
ENSG00000005882,1811.659047619047
ENSG00000005884,1505.618095238095
ENSG00000005889,3468.2752380952375
ENSG00000005893,2887.1823809523808
ENSG00000005961,1730.3642857142856
ENSG00000005981,1777.2595238095234
ENSG00000006007,2234.1804761904764
ENSG00000006015,590.8085714285713
ENSG00000006016,892.6609523809525
ENSG00000006025,2959.901428571429
ENSG00000006042,1104.0628571428572
ENSG00000006047,1465.1366666666665
ENSG00000006059,1221.3547619047617
ENSG00000006062,3995.482857142857
ENSG00000006071,3219.721428571429
ENSG00000006116,1835.3547619047613
ENSG00000006118,1895.2090476190474
ENSG00000006125,2448.888571428571
ENSG00000006128,753.5547619047619
ENSG00000006194,2849.605238095238
ENSG00000006210,3768.5333333333333
ENSG00000006282,2351.619523809524
ENSG00000006283,6449.231904761904
ENSG00000006327,801.7271428571431
ENSG00000006377,1522.1642857142856
ENSG00000006432,8762.826666666668
ENSG00000006451,1370.1814285714283
ENSG00000006453,2042.9647619047623
ENSG00000006459,6279.842857142856
ENSG00000006468,2286.8557142857144
ENSG00000006530,2564.327619047619
ENSG00000006534,2808.802857142858
ENSG00000006555,2914.95619047619
ENSG00000006576,2983.5538095238085
ENSG00000006606,507.354761904762
ENSG00000006607,2402.6719047619044
ENSG00000006611,1382.398095238095
ENSG00000006625,983.5285714285714
ENSG00000006634,1534.2300000000002
ENSG00000006638,1653.0028571428566
ENSG00000006652,1604.1928571428573
ENSG00000006659,538.9104761904763
ENSG00000006695,2277.3690476190477
ENSG00000006704,2248.3780952380953
ENSG00000006712,1493.8080952380953
ENSG00000006715,2085.7461904761903
ENSG00000006740,4015.9309523809516
ENSG00000006744,2608.4233333333327
ENSG00000006747,2478.028095238095
ENSG00000006756,2689.6228571428574
ENSG00000006757,1971.905714285714
ENSG00000006788,5899.783809523809
ENSG00000006831,3440.3771428571436
ENSG00000006837,1146.1752380952382
ENSG00000007001,1964.1242857142859
ENSG00000007038,791.8352380952382
ENSG00000007047,3590.660476190475
ENSG00000007062,1803.4071428571428
ENSG00000007080,910.0090476190478
ENSG00000007129,875.8557142857146
ENSG00000007168,2668.6380952380946
ENSG00000007171,3587.884761904762
ENSG00000007174,3021.0961904761903
ENSG00000007202,2930.7
ENSG00000007216,2163.4342857142856
ENSG00000007237,6350.669047619047
ENSG00000007255,635.3885714285715
ENSG00000007264,1614.9576190476191
ENSG00000007306,1401.1047619047617
ENSG00000007312,1047.477142857143
ENSG00000007314,3956.131904761904
ENSG00000007341,1138.0090476190478
ENSG00000007350,1988.0123809523802
ENSG00000007372,2780.257142857143
ENSG00000007376,1833.197619047619
ENSG00000007384,1250.657142857143
ENSG00000007392,1155.095238095238
ENSG00000007402,4007.582857142857
ENSG00000007516,3319.2623809523807
ENSG00000007520,1103.3204761904765
ENSG00000007541,1672.0780952380953
ENSG00000007545,6065.403333333335
ENSG00000007866,2533.64
ENSG00000007908,2009.3228571428574
ENSG00000007923,2265.866666666667
ENSG00000007933,956.8690476190478
ENSG00000007944,3458.2114285714288
ENSG00000007952,1920.4247619047617
ENSG00000007968,4741.684761904762
ENSG00000008018,833.4085714285713
ENSG00000008056,1773.6533333333327
ENSG00000008083,5682.234285714286
ENSG00000008086,6679.234285714285
ENSG00000008118,1773.5928571428574
ENSG00000008128,979.519523809524
ENSG00000008130,2031.8233333333335
ENSG00000008196,2492.211904761905
ENSG00000008197,1490.283333333333
ENSG00000008226,3445.5928571428567
ENSG00000008256,3037.7547619047623
ENSG00000008277,5061.927142857143
ENSG00000008282,1896.4819047619048
ENSG00000008283,2396.798571428571
ENSG00000008294,2021.723809523809
ENSG00000008300,7114.0804761904765
ENSG00000008311,3818.643333333333
ENSG00000008323,1362.8214285714284
ENSG00000008324,972.1276190476191
ENSG00000008382,862.4695238095238
ENSG00000008394,795.9728571428569
ENSG00000008405,2371.139047619048
ENSG00000008438,626.354761904762
ENSG00000008441,3658.5690476190484
ENSG00000008513,4115.122380952381
ENSG00000008516,2951.6447619047617
ENSG00000008517,618.892857142857
ENSG00000008710,2150.394285714286
ENSG00000008735,5551.497619047619
ENSG00000008838,2770.98
ENSG00000008853,4502.961904761905
ENSG00000008869,4881.619047619047
ENSG00000008952,875.8309523809523
ENSG00000008988,437.1009523809523
ENSG00000009307,2449.786666666666
ENSG00000009335,2351.9714285714285
ENSG00000009413,3861.2885714285717
ENSG00000009694,12567.781904761901
ENSG00000009709,3948.6885714285713
ENSG00000009724,1534.0033333333333
ENSG00000009765,2231.427142857143
ENSG00000009780,2735.962380952381
ENSG00000009790,1177.7538095238094
ENSG00000009830,1110.8799999999999
ENSG00000009844,2856.57
ENSG00000009950,2084.443333333333
ENSG00000009954,5363.920952380952
ENSG00000010017,2569.168095238095
ENSG00000010030,1396.8233333333335
ENSG00000010072,1433.0014285714287
ENSG00000010165,2191.9471428571433
ENSG00000010219,703.2142857142857
ENSG00000010244,2586.2195238095237
ENSG00000010256,1284.3895238095238
ENSG00000010270,1630.173333333333
ENSG00000010278,1012.1880952380957
ENSG00000010282,777.4385714285713
ENSG00000010292,2677.588571428571
ENSG00000010295,2427.740476190477
ENSG00000010310,2370.0819047619048
ENSG00000010318,1008.1361904761906
ENSG00000010319,3336.3633333333332
ENSG00000010322,4289.533333333334
ENSG00000010327,2162.489047619047
ENSG00000010361,830.8285714285714
ENSG00000010379,774.0414285714286
ENSG00000010404,2732.072857142857
ENSG00000010438,585.7214285714286
ENSG00000010539,2848.8885714285716
ENSG00000010610,2869.3552380952383
ENSG00000010626,861.7038095238096
ENSG00000010671,2252.177619047619
ENSG00000010704,2634.660476190476
ENSG00000010803,1680.044761904762
ENSG00000010810,1095.4947619047618
ENSG00000010818,5955.967619047619
ENSG00000010932,1886.0338095238099
ENSG00000011007,4705.109523809524
ENSG00000011009,1478.4080952380953
ENSG00000011021,2819.8976190476187
ENSG00000011028,2837.319047619048
ENSG00000011052,934.6942857142858
ENSG00000011083,2132.6885714285713
ENSG00000011105,2617.911904761905
ENSG00000011114,3396.109523809524
ENSG00000011132,1760.378095238095
ENSG00000011143,1843.3766666666663
ENSG00000011198,1889.8466666666668
ENSG00000011201,3211.7038095238095
ENSG00000011243,1653.3333333333335
ENSG00000011258,3070.192380952381
ENSG00000011260,1565.8385714285714
ENSG00000011275,4026.9523809523803
ENSG00000011295,2486.6728571428566
ENSG00000011304,2282.703333333333
ENSG00000011332,1609.6852380952382
ENSG00000011347,2307.706666666667
ENSG00000011376,4309.989523809523
ENSG00000011405,4136.689047619047
ENSG00000011422,902.4685714285714
ENSG00000011426,1674.7852380952377
ENSG00000011451,4178.409523809524
ENSG00000011454,2907.6952380952384
ENSG00000011465,1109.217619047619
ENSG00000011478,1535.344285714286
ENSG00000011485,1922.850476190476
ENSG00000011523,3457.9342857142856
ENSG00000011566,2449.2552380952384
ENSG00000011590,1182.7499999999998
ENSG00000011600,466.6795238095238
ENSG00000011638,1489.7033333333334
ENSG00000011677,1653.1642857142854
ENSG00000012048,3123.4757142857143
ENSG00000012061,1046.7380952380952
ENSG00000012124,1976.6376190476192
ENSG00000012171,1965.9138095238095
ENSG00000012174,4201.229047619047
ENSG00000012211,1915.0466666666669
ENSG00000012223,1937.1333333333334
ENSG00000012232,5308.145714285714
ENSG00000012504,1367.0471428571427
ENSG00000012660,1926.702857142857
ENSG00000012779,2117.295714285714
ENSG00000012817,3217.2209523809533
ENSG00000012822,1437.0909523809526
ENSG00000012963,2364.5523809523806
ENSG00000012983,1911.142857142857
ENSG00000013016,4743.354761904761
ENSG00000013275,1263.3909523809523
ENSG00000013288,5027.9219047619035
ENSG00000013293,6145.521428571429
ENSG00000013297,1285.4409523809522
ENSG00000013306,1455.848095238095
ENSG00000013364,2537.6857142857143
ENSG00000013374,1978.455238095238
ENSG00000013375,3606.6595238095238
ENSG00000013392,3687.3547619047617
ENSG00000013441,964.5571428571428
ENSG00000013503,2668.287142857143
ENSG00000013523,5280.365714285713
ENSG00000013561,2348.8452380952376
